C2	src/oracles/AbstractCustomOracle.sol:latestAnswer:64	A missing-check finding on a read-only view getter requires the candidate to name a concrete in-scope state-mutating consumer that actually calls that specific getter; when the guarded sibling getter is the documented integration surface and the unguarded ones exist only to satisfy an inherited interface, an unconsumed gap is hardening advice, not an exploit.
C2	src/oracles/Curve2TokenOracle.sol:_lpTokenValue:73	A manipulation claim against a value produced by an inherited or otherwise unshown routine must trace that routine's actual arithmetic and any deviation-tolerance check it applies, and must demonstrate with the code's own configured bounds that the manipulation-induced shift in the cross-check input stays inside them, rather than asserting the sanity band is satisfied.
C15	src/oracles/Curve2TokenOracle.sol:_lpTokenValue:73	A mid-transaction-state (reentrancy-window) pricing claim must quote the external contract's actual state-mutation ordering around the callback and show that the resulting error has the sign required by the stated exploit direction, and that the callback exists in the contract shape the consumer can actually be deployed against.
C15	src/oracles/AbstractCustomOracle.sol:latestAnswer:64	A guard present on one read entry point but absent on a sibling read entry point is only a finding when the candidate names an in-scope consumer that actually reads the unguarded entry point and the concrete state-changing divergence that follows; a view function with no traced caller yields speculative harm contingent on unshown third-party code.
C23	src/oracles/Curve2TokenOracle.sol:_lpTokenValue:75	A constructor-set immutable integration parameter is privileged configuration, so a candidate alleging harm from a wrong value must name the unprivileged action that induces or changes that value rather than assuming the deployer already chose an out-of-domain one.
C2	src/oracles/Curve2TokenOracle.sol:_lpTokenValue:88	A denial-of-service claim resting on a sanity-check revert must quote the actual comparison, threshold, and units from the code that implements the check rather than asserting them, and must show the revert condition is reachable by ordinary or cheaply-forced state rather than being the fail-closed guard operating as designed.
C21	src/single-sided-lp/AbstractSingleSidedLP.sol:convertToAssets:196	A valuation-branch-switching claim must show that the alternate branch actually returns a larger number than the default one and that the state needed to trigger it does not itself trip an all-elements consistency check that the trigger condition only tests existentially.
C21	src/single-sided-lp/AbstractSingleSidedLP.sol:hasPendingWithdrawals:214	A size-agnostic state flag is only a finding if the candidate names the unprivileged call path that actually sets the flag with a mismatched magnitude AND shows the resulting valuation error runs in the attacker's favour rather than against their own position.
C21	src/single-sided-lp/CurveConvex2Token.sol:_exitPool:263	A reentrancy claim must identify a concrete point inside the alleged window where attacker-controlled code actually receives execution; a value transfer whose recipient is the protocol's own contract with an inert fallback hands control to the protocol, not to any external party, and configuration-fixed callees do not supply that entry point.
C21	src/single-sided-lp/AbstractSingleSidedLP.sol:tokenizeWithdrawRequest:255	A claim that an attacker can force an alternate valuation branch must identify the concrete state transition that flips the branch predicate and show it is reachable by the attacker before the valuation is read, rather than pointing at a post-check hook whose own code documents it as a no-op when that state is absent.
class=C23	src/single-sided-lp/CurveConvex2Token.sol:_exitPool	A behavioral divergence that can only arise from a deployment-time pairing of an integration target with an interface variant, both fixed in immutable constructor configuration, counts as privileged configuration unless the candidate identifies an unprivileged action that induces the mismatch and demonstrates the external counterparty's differing behavior rather than assuming it.
class=C23	src/single-sided-lp/CurveConvex2Token.sol:unstakeAndExitPool	<a claim whose damaging step occurs in code outside the reviewed unit must trace that step in the actual shown code, and must identify an unprivileged trigger rather than a deployment-time pairing of parameters chosen by a trusted deployer>
class=C22	src/single-sided-lp/AbstractSingleSidedLP.sol:initiateWithdraw	A claim that a value-bearing leg is booked without backing must identify, in code, both the registry/lookup path that actually resolves to a live counterparty for that leg and the counterparty logic that credits an amount it never received — a lookup that resolves to a codeless address reverts the whole call, and a lookup that resolves only via operator registration is privileged configuration.
class=C22	src/single-sided-lp/CurveConvex2Token.sol:joinPoolAndStake	A claim that a native-asset unwrap/wrap step operates on the wrong balance must be refuted when the contract's own constructor-time index/role assignment forces the unwrapped bucket to coincide with the accounted leg in every configuration where that bucket exists, and the only surviving variant is a deterministic revert in a deployer-chosen configuration whose triggering behavior lives in code not presented for review.
class=C15	src/single-sided-lp/AbstractSingleSidedLP.sol:getWithdrawRequestValue	A claim that a proportional multi-asset payout floors to zero must demonstrate that the required extreme reserve imbalance is actually reachable by permissionless trading against the pool's invariant — not merely asserted via "flash-swap" — and must identify a trigger callable by someone other than the position owner, since a state only the owner can enter at their own expense is griefing, not an external exploit.
class=C15	src/single-sided-lp/AbstractSingleSidedLP.sol:finalizeAndRedeemWithdrawRequest	A claim that a missing guard permanently freezes funds must demonstrate that the precondition state is reachable by an unprivileged actor, and must survive the fact that the same unguarded assumption on the state-creating path causes that path to revert before the state can ever be established.
class=C15	src/single-sided-lp/CurveConvex2Token.sol:unstakeAndExitPool	A permissionless entry point on a delegatecall-only helper or library target is not exploitable unless the candidate shows that the assets or authority it manipulates are actually held at the address where the code executes on the attacker's call path, rather than at the caller that normally delegatecalls into it.
class=C23	src/single-sided-lp/CurveConvex2Token.sol:checkReentrancyContext:156	A denial-of-service claim must show that the blocking precondition cannot be restored by any permissionless, dust-cost action a third party can take atomically in the same transaction as the blocked call; if a freely transferable asset or public state can be seeded by the caller to satisfy the failing check, the claimed permanence and its severity collapse.
